"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;;1575;"Loire Auvergne";"CCANL";"CCANL";"Moulins";"C.A.Moulins";;"PR Pissenger";;2014;179;;;;"Assainissement";"Poste de relevage";"EDF";"GSM";;;;"Non";;;"Sofrel";"S530";"4.20";"04:12";"Moulins";;
0;;1584;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIREG";"Issoire";"Pr du Petit Mas";;2014;136;;;;"Assainissement";"Poste de relevage";"EDF";"GSM";"06";;;"Non";;;"Sofrel";"S530";"4.30";"05:05";"PDD Assainissement";;
0;"";1273;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIARR";"Riom";"Comptage Collecteur Nord Riom";"65104";2011;183;"";"";"";"Assainissement";"Déversoir d'orage";"EDF";"LS";"";;;"Non";;;"Sofrel";"S50";"4.32";"";"PDD Assainissement";"";""
0;"A01";1387;"Loire Auvergne";"CCANL";"CCANL";"Moulins";"C.A.Moulins";"Bagneux";"PR Champs de Pacques";"58908";2012;113;"";"A01";"";"Assainissement";"Poste de relevage";"EDF";"GSM";"06 19 16 89 53";;;"Non";;;"Sofrel";"S530";"3.23";"03:32";"Moulins";"";""
0;"A02";1399;"Loire Auvergne";"CCANL";"CCANL";"Moulins";"C.A.Moulins";"Bagneux";"PR Le Pilet";"58907";2012;114;"";"A02";"";"Assainissement";"Poste de relevage";"EDF";"GSM";"06 19 16 81 16";;;"Non";;;"Sofrel";"S530";"3.23";"03:34";"Moulins";"";""
0;"A2";786;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM de l Albaret";"Mirefleurs";"La Conche";"12513";2001;10;"";"A2";"B3";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 73 39 70 44";;;"Non";"";"";"Sofrel";"S50";"5.22";"05:00";"PDD Eau Potable";"";""
0;"A3";787;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM de l Albaret";"Mirefleurs";"Chalendrat";"12512";2001;11;"";"A3";"B4";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 73 39 81 17";;;"Non";;;"Sofrel";"S50";"5.23";"05:01";"PDD Eau Potable";"";""
0;"A4";788;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM de l Albaret";"Saint-Maurice";"St Marguerite";"12730";2009;12;"";"A4";"";"Eau potable";"Réservoir";"EDF";"RTC";"04 73 69 22 65";;;"Non";;;"Sofrel";"S530";"3.30";"06:11";"PDD Eau Potable";"";""
0;"A5";789;"Loire Auvergne";"PDD";"PDD_CA";"PDD";"SIVOM de l Albaret";"Saint-Julien-De-Coppel";"La Rouveyre";"12717";2009;13;"";"A5";"";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 73 68 94 42";;;"Non";"";"";"Sofrel";"S530";"3.40";"06:12";"PDD Eau Potable";"";""
0;"A51";1423;"Loire Auvergne";"CCANL";"CCANL";"Moulins";"C.A.Moulins";"Bagneux";"STEP Les Amiels";"58946";2012;115;"";"A51";"A52";"Assainissement";"STEP";"EDF";"GSM";"06 19 16 93 69";;;"Non";;;"Sofrel";"S530";"3.23";"03:34";"Moulins";"";""
