"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"rmqintersite";"site_lie";"intersite";"digicode";"divers"
0;"";1667;0;"67661";"";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Pont Evêque";"JARDIN";"ViennAgglo";"Poste de relevage";"PR La Juliette";2012;"";"";"EDF";"RTC";"04 74 79 94 63";"";"Autre";"";"";"";"Pont-Eveque";"";"";;;"";""
0;"A1";1313;10;"52035";"38-1";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR Pré pommier";2011;"A1";"";"EDF";"RTC";"04 74 28 38 19";"";"Sofrel";"S550";"5.30";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A10";1311;2;"52095";"38-10";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"SAINT-SAVIN";"Saint Savin Assainissement";"Poste de relevage";"PR les tuches 1 Sud";2011;"A10";"";"EDF";"RTC";"04 74 43 86 13";"";"Sofrel";"S50";"4.34";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A11";1312;2;"52094";"38-11";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"SAINT-SAVIN";"Saint Savin Assainissement";"Poste de relevage";"PR les tuches 2 Nord";2011;"A11";"";"EDF";"RTC";"04 74 28 85 98";"";"Sofrel";"S50";"5.44";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A12";1306;0;"56835";"38-12";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"SAINT-SAVIN";"Saint Savin Assainissement";"Poste de relevage";"PR Flosaille Acacias";2011;"A12";"";"EDF";"RTC";"04 74 28 18 11";"";"Sofrel";"S50";"5.26";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A13";1307;10;"56834";"38-13";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"SAINT-SAVIN";"Saint Savin Assainissement";"Poste de relevage";"PR Flosaille D522";2011;"A13";"";"EDF";"RTC";"04 74 28 18 56";"";"Sofrel";"S50";"5.24";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A14";1300;0;"51811";"38-14";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BADINIÈRES";"CAPI Eclose Badinnieres Assainissement";"Poste de relevage";"PR les Vignes ( les Ferrands )";2011;"A14";"";"EDF";"RTC";"04 74 92 05 63";"";"Sofrel";"S550";"";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A15";1310;2;"56843";"38-15";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"SÉRÉZIN-DE-LA-TOUR";"CAPI Assainissement";"Poste de relevage";"PR Le Devay Serezin de la tour";2011;"A15";"";"EDF";"RTC";"04 74 33 08 94";"";"Sofrel";"S50";"5.26";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A16";1299;0;"52034";"38-16";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR Place de la Gare";2011;"A16";"";"EDF";"RTC";"04 37 03 48 07";"";"Sofrel";"S550";"3.40.13";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A17";1314;0;"51141";"38-17";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"ECLOSE";"CAPI Eclose Badinnieres Assainissement";"STEP";"STEP Eclose Badinieres";2011;"A17";"";"EDF";"RTC";"04 74 27 92 10";"";"Sofrel";"S550";"";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A18";1700;2;"61531";"38-18";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"MEYRIÉ";"CAPI Assainissement";"Poste de relevage";"PR le Stade ( Meyrié )";2012;"A18";"";"EDF";"RTC";"04 74 93 79 10";"";"Sofrel";"S550";"";"";"";"";"";;;"";""
0;"A19";1457;19;"52036";"38-19";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR Quai Sophie Durand";2011;"A19";"";"EDF";"RTC";"04 37 03 14 35";"";"Sofrel";"S550";"";"01:00";"Bourgoin Jallieu";"";"non";;;"";""
0;"A2";1309;2;"52033";"38-2";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR la Grive Marais Ouest";2011;"A2";"";"EDF";"RTC";"04 37 03 09 75";"";"Sofrel";"S550";"4.18";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A20";1458;20;"52031";"38-20";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR  de Boussieu";2011;"A20";"";"EDF";"RTC";"04 37 03 44 39";"";"Sofrel";"S550";"";"01:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A21";1630;0;"72431";"38-126";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"STEP";"STEP Bourgoin Jallieu";2012;"A21";"";"EDF";"RTC";"04 74 19 22 14";"";"Sofrel";"S550";"3.10";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A24";1635;1;"51133";"38-98";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHAVANOZ";"Pont de Cheruy Sivom Assainissement";"STEP";"STEP Pont de Cheruy Chavanoz";2012;"A24";"";"EDF";"RTC";"04 72 02 91 04";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A25";1636;3;"52394";"38-99";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"TIGNIEU-JAMEYZIEU";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Ardennes";2012;"A25";"";"EDF";"RTC";"04 72 02 95 05";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A26";1637;6;"52389";"38-100";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"ANTHON";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Anthon";2012;"A26";"";"EDF";"RTC";"04 72 02 95 76";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A27";1638;4;"52393";"38-101";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHARVIEU-CHAVAGNEUX";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Acacias";2012;"A27";"";"EDF";"RTC";"04 72 02 95 70";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A28";1634;2;"52391";"38-102";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHAVANOZ";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Bouchet";2012;"A28";"";"EDF";"RTC";"04 78 32 59 71";"";"Sofrel";"S50";"5.44";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A29";1639;5;"52392";"38-103";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"PONT-DE-CHÉRUY";"Pont de Cheruy Sivom Assainissement";"STEP";"PR Lyonnais";2012;"A29";"";"EDF";"RTC";"04 72 02 95 04";"";"Sofrel";"S550";"3.51";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A3";1308;1;"52032";"38-3";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"BOURGOIN-JALLIEU";"CAPI Assainissement";"Poste de relevage";"PR la Grive le Pont Est";2011;"A3";"";"EDF";"RTC";"04 37 03 09 76";"";"Sofrel";"S50";"4.18";"06:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A30";1640;9;"52390";"38-104";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"TIGNIEU-JAMEYZIEU";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Jameyzieu";2012;"A30";"";"EDF";"RTC";"04 78 32 01 73";"";"Sofrel";"S50";"5.30";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A31";1643;7;"52527";"38-107";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHAVANOZ";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR Porcher";2012;"A31";"";"EDF";"RTC";"04 72 02 91 59";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A32";1642;8;"52395";"38-106";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"TIGNIEU-JAMEYZIEU";"Pont de Cheruy Sivom Assainissement";"Poste de relevage";"PR les Tournes";2012;"A32";"";"EDF";"RTC";"04 78 32 42 91";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A33";1641;255;"52285";"38-105";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"JANNEYRIAS";"Janneyrias";"Poste de relevage";"PR Janneyrias";2012;"A33";"";"EDF";"RTC";"04 78 32 20 67";"";"Sofrel";"";"";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A34";1644;0;"60765";"38-108";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHAMAGNIEU";"MARSA";"STEP";"STEP MARSA";2012;"A34";;"EDF";"RTC";"04 74 95 55 20";;"Sofrel";"S550";"3.10";"08:00";"Bourgoin Jallieu";;;;;;
0;"A35";1645;35;"77111";"38-109";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"CHAMAGNIEU";"MARSA";"Poste de relevage";"PR Mianges";2012;"A35";"";"EDF";"RTC";"04 74 90 64 39";"";"Sofrel";"S50";"5.41";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A36";1646;36;"77110";"38-110";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"PANOSSAS";"MARSA";"Poste de relevage";"PR Veyssillieu";2012;"A36";"";"EDF";"RTC";"04 74 80 64 96";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A37";1647;37;"77120";"38-11";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"FRONTONAS";"MARSA";"Poste de relevage";"PR Le Jeannet Frontonas";2012;"A37";"";"EDF";"RTC";"04 74 94 76 59";"";"Sofrel";"S50";"4.24";"08:00";"Bourgoin Jallieu";"";"";;;"";""
0;"A38";1648;38;"77115";"38-112";"Isère";"ASS Dauphiné-Savoie";"Assainissement";"Bourgoin Jallieu";"FRONTONAS";"MARSA";"Poste de relevage";"PR les 4 Vies";2012;"A38";"";"EDF";"RTC";"04 74 82 48 75";"";"Sofrel";"S50";"5.26";"08:00";"Bourgoin Jallieu";"";"";;;"";""
