"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;;2505;;"5992";;"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Beaujeu";"VAUXRENARD";"HAUT BEAUJOLAIS";"Réservoir";"Réservoir Montgoury - Vauxrenard";2013;;;"Autonome (Pile)";"LP";;;"Autre";"Paratronic TLSAE";;;;;;;;;
0;"";2312;0;"6727";"";"Sud-Rhône";"ASS Rhone Saone";"Assainissement";"SSCOISE";"SAINT-SYMPHORIEN-SUR-COISE";"ST SYMPHORIEN SUR COISE";"Bassin d'orage";"PLUVIO STEP PONT FRANCAIS";1989;"";"";"Autonome (Pile)";"GSM";"06 75 88 99 09";"";"Sofrel";"LS42";"3.11.10";"";"";"";;;"";"";"Pluviometre HYDREHA PL2"
0;"";2368;1019;"77701";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"";"RONTALON";"Sectorisation";"CPT TIREMANTEAU";2013;"";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"";"";"";"10.86.24.34";"Non";"";"";"";""
0;"";2370;1021;"77706";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"MEYS";"MEYS";"Sectorisation";"CPT SUR LE HAUT";2013;"";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"";"";"";"10.86.24.36";;;"";"";""
0;"";2371;1022;"77705";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"";"ST DIDIER SOUS RIVERIE";"Sectorisation";"CPT LA ROBINIERE";2013;"";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"";"";"";"10.86.24.35";"Non";"";"";"";""
0;"";2421;1023;"6568";"";"Sud-Rhône";"ASS Rhone Saone";"Assainissement";"SUD-RHONE";"GRÉZIEU-LA-VARENNE";"GREZIEU LA VARENNE";"Déversoir d'orage";"DO CHEMIN DE LA LECHERE";2013;"";"";"Autonome (Pile)";"GPRS";"";"";"Sofrel";"LT42";"";"";"A12";"10.86.24.55";;;"";"";"A compléter...Topkapi"
0;"";2424;0;"59452";"";"Sud-Rhône";"ASS Rhone Saone";"Assainissement";"SUD-RHONE";"ECHALAS";"ECHALAS";"Poste de relevage";"PR ROUTE DE TREVES";2013;"";"";"EDF";"GPRS";"";"";"Sofrel";"S500";"";"";"";"10.86.24.xx";;;"";"";"A compléter...lors intégration GTC
S.DERAY"
0;"A0";1302;67;"6276";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"ANSE";"SAONE TURDINE";"Captage";"SP JONCHAY REPRISE - ANSE";0;"A0";"";"EDF";"RTC";"04 74 67 13 99";"";"Sofrel";"S500";"3.30";"";"M3-P3";"192.168.0.115";;;"";"Portail : 2007 + fleche gauche";""
0;"A0";2255;1;"6332";"";"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"Eau potable";"SUD-RHONE";"MONTAGNY";"SIDESOL";"Pompage réservoir";"POMPAGE_LA COTE - BRIGNAIS";0;"A0";"A1/B0/B1/B2/B3/B4/B5/B6/B7/B8/B9/C0";"EDF";"IP";"";"";"Sofrel";"S500";"";"";"";"10.81.1.5";"ADSL";"multiple";"";"";""
0;"A01";1492;1;"6869";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"BEYNOST";"SIVU BEYNOST";"STEP";"STEP CHEMIN DU PILON - BEYNOST";1992;"A01";"";"EDF";"RTC";"04 72 25 80 93";"";"Sofrel";"S500";"3.30";"";"M3/A3";"192.168.0.131";;;"";;
