"Nombre_PA";"Page";"IDNum";"IDKey";"numero_esclave";"code_ppv";"code_id";"centre";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers";"rmqintersite";"site_lie";"intersite";"adresse_ip";"num_secours"
0;"";1273;;183;"65104";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"SIARR";"Déversoir d'orage";"Comptage Collecteur Nord Riom";2011;"";"";"EDF";"LS";"";"Sofrel";"S50";"4.32";"";"PDD Assainissement";"";"";;;;;
0;"A01";1387;;113;"58908";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"Poste de relevage";"PR Champs de Pacques";2012;"A01";"";"EDF";"GSM";"06 19 16 89 53";"Sofrel";"S530";"3.23";"03:32";"Moulins";"";"";;;;;
0;"A02";1399;;114;"58907";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"Poste de relevage";"PR Le Pilet";2012;"A02";"";"EDF";"GSM";"06 19 16 81 16";"Sofrel";"S530";"3.23";"03:34";"Moulins";"";"";;;;;
0;"A2";786;"10_PDD_A2_SOFREL";10;"12513";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Pompage réservoir";"La Conche";2001;"A2";"B3";"EDF";"RTC";"04 73 39 70 44";"Sofrel";"S50";"5.22";"05:00";"PDD Eau Potable";;;;;;;
0;"A3";787;"11_PDD_A3_SOFREL";11;"12512";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Pompage réservoir";"Chalendrat";2001;"A3";"B4";"EDF";"RTC";"04 73 39 81 17";"Sofrel";"S50";"5.23";"05:01";"PDD Eau Potable";;;;;;;
0;"A4";788;"12_PDD_A4_SOFREL";12;"12730";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Réservoir";"St Marguerite";2009;"A4";"";"EDF";"RTC";"04 73 69 22 65";"Sofrel";"S530";"3.30";"06:11";"PDD Eau Potable";;;;;;;
0;"A5";789;"13_PDD_A5_SOFREL";13;"12717";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Pompage réservoir";"La Rouveyre";2019;"A5";"";"EDF";"RTC";"04 73 68 94 42";"Sofrel";"S530";"3.40";"06:12";"PDD Eau Potable";;;;;;;
0;"A51";1423;;115;"58946";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"STEP";"STEP Les Amiels";2012;"A51";"A52";"EDF";"GSM";"06 19 16 93 69";"Sofrel";"S530";"3.23";"03:34";"Moulins";"";"";;;;;
0;"A6";790;"14_PDD_A6_SOFREL";14;"12716";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"SIVOM de l Albaret";"Pompage réservoir";"Les Couleaux";2009;"A6";"";"EDF";"RTC";"04 73 68 43 40";"Sofrel";"S550";"3.40";"06:13";"PDD Eau Potable";;;;;;;
0;"A9";328;"21_CCANL_A9_SOFREL";21;"12061";"";"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Station de traitement";"Magnat l'étrange";2003;"A9";"A2";"EDF";"RTC";"05 55 67 85 92";"Sofrel";"S550";"2.20";"06:35";"Creuse Sud";;;;;;;
0;"AA";868;"99_PDD_AA_SOFREL";99;"72067";"";"Loire Auvergne";"PDD";"PDD_CA";"Autre";"PDD";;"Clermont-Ferrand";"Autre";"Bureau Clermont";2000;"AA";"";"EDF";"RTC";"04 73 27 51 04";"Sofrel";"S50";"5.11";"00:00";"PDD Eau Potable";"";"";;;;;
0;"AB";873;"83_CCANL_AB_SOFREL";83;"12047";"";"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Réservoir";"La Riberie";2004;"AB";"";"Solaire";"GSM";"06 88 30 08 74";"Sofrel";"S50";"5.44";"05:42";"Creuse Sud";"";"";;;;;
0;"AC";874;"84_CCANL_AC_SOFREL";84;"12070";"";"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Réservoir";"Mourgoux";2004;"AC";"";"Solaire";"GSM";"06 88 30 08 79";"Sofrel";"S50";"5.44";"05:43";"Creuse Sud";"";"";;;;;
0;"AD";875;"85_CCANL_AD_SOFREL";85;"12058";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Réservoir";"Gaschard";2004;"AD";;"Solaire";"GSM";"06 88 30 08 87";"Sofrel";"S50";"5.44";"05:44";"Creuse Sud";;;;;;;
0;"AE";876;"86_CCANL_AE_SOFREL";86;"12081";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Pompage réservoir";"Les Cantines";2004;"AE";;"EDF";"RTC";"05 55 67 36 24";"Sofrel";"S50";"5.44";"05:45";"Creuse Sud";;;;;;;
0;"AF";877;"87_CCANL_AF_SOFREL";87;"12035";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Pompage réservoir";"Le Pradeau";2004;"AF";;"EDF";"RTC";"05 55 83 30 16";"Sofrel";"S50";"5.44";"05:46";"Creuse Sud";;;;;;;
0;"AG";878;"88_CCANL_AG_SOFREL";88;"12040";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Pompage réservoir";"La Chapelle";2004;"AG";;"EDF";"RTC";"05 55 83 94 77";"Sofrel";"S50";"5.44";"05:47";"Creuse Sud";;;;;;;
