"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"rmqintersite";"site_lie";"intersite";"digicode";"divers"
0;;1596;;;;"SSE Assainissement";"Topkapi_SSE";"Assainissement";"Isérable";;"Saint-Etienne métropole";"Bassin d'orage";"Test";2012;;;"EDF";"RTC";;;"Sofrel";;;;;;;;;;
0;;1628;26;;;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Site C F Lignon Vendets";2013;;;"EDF";"RTC";"04 71 65 86 90";;"Sofrel";"S550";"3.30";;;;;;;;
0;;1638;2;;;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Eaux brutes";;"Saint-Etienne";"Captage";"Chambre CF Furan Roche Corbière";2013;;;"EDF";"RTC";"04 77 25 84 42";;"Sofrel";"S50";"5.26";;;;;;;;
0;;1642;78;;;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Rochetaillée";;"Saint-Etienne";"Réservoir";"Réservoir de Salvaris";2013;;;"EDF";"RTC";"04 77 38 24 59";;"Sofrel";"S530";"3.40";;;;;;;;
0;"";1640;34;"";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Rochetaillée";;"Saint-Etienne";"Point de mesure";"Armoire Pres. Fougerouse";2013;"";"";"EDF";"RTC";"04 77 47 24 91";"";"Sofrel";"S530";"3.30";"";"";"";"";;;"";""
0;"";1641;35;"";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Rochetaillée";;"Saint-Etienne";"Pompage réservoir";"Reservoir Essertines";2013;"";"";"EDF";"RTC";"04 77 33 13 95";"";"Sofrel";"S530";"3.30";"";"";"";"";;;"";""
0;"A1";1660;20;"70845";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Bas-Service";;"Saint-Etienne";"Relevé de compteur";"St-Priest Lamaizière";2013;"A1";;"EDF";"RTC";"04 77 92 47 51";;"Sofrel";"S530";"4.11";"06:30";;;;;;;
0;"A3";1664;22;"70851";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Moyen-Service";;"Saint-Etienne";"Relevé de compteur";"St-Priest Terrasse/Albert Raimond";2013;"A3";;"EDF";"RTC";"04 77 92 50 20";;"Sofrel";"S550";"4.20";"06:34";;;;;;;
0;"A5";1621;24;"69889";;"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Relevé de compteur";"Ricamarie Beraudière";2013;"A5";;"Autonome (Pile)";"RTC";"04 77 81 31 02";;"Sofrel";"TELBOX";"4.10";"06:34";;;;;;;
0;"A6";1616;25;"69451";"";"SSE Eau Potable";"Topkapi_SSE";"Eau potable";"Haut-Service";;"Saint-Etienne";"Relevé de compteur";"Les Ursules Parking";2013;"A6";"";"EDF";"RTC";"04 77 81 39 17";"";"Sofrel";"S530";"3.10";"06:35";"";"";"";;;"";""
