"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;;2505;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Beaujeu";"HAUT BEAUJOLAIS";"VAUXRENARD";"Réservoir Montgoury - Vauxrenard";"5992";2013;;;;;"Eau potable";"Réservoir";"Autonome (Pile)";"LP";;;;"Non";;;"Autre";"Paratronic TLSAE";;;;;
0;"";2312;;"Sud-Rhône";"ASS Rhone Saone";"SSCOISE";"ST SYMPHORIEN SUR COISE";"SAINT-SYMPHORIEN-SUR-COISE";"PLUVIO STEP PONT FRANCAIS";"6727";1989;0;"";"";"";"Assainissement";"Bassin d'orage";"Autonome (Pile)";"GSM";"06 75 88 99 09";"";"";"Non";;;"Sofrel";"LS42";"3.11.10";"";"";"";"Pluviometre HYDREHA PL2"
0;"";2368;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"RONTALON";"";"CPT TIREMANTEAU";"77701";2013;1019;"";"";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GPRS";"";"";"10.86.24.34";"Non";;;"Sofrel";"LT42";"";"";"";"";""
0;"";2370;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"MEYS";"MEYS";"CPT SUR LE HAUT";"77706";2013;1021;"";"";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GPRS";"";"";"10.86.24.36";"Non";;;"Sofrel";"LT42";"";"";"";"";""
0;"";2371;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"ST DIDIER SOUS RIVERIE";"";"CPT LA ROBINIERE";"77705";2013;1022;"";"";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GPRS";"";"";"10.86.24.35";"Non";;;"Sofrel";"LT42";"";"";"";"";""
0;"";2424;;"Sud-Rhône";"ASS Rhone Saone";"SUD-RHONE";"ECHALAS";"ECHALAS";"PR ROUTE DE TREVES";"59452";2013;0;"";"";"";"Assainissement";"Poste de relevage";"EDF";"GPRS";"";"";"10.86.24.xx";"Non";;;"Sofrel";"S500";"";"";"";"";"A compléter...lors intégration GTC
S.DERAY"
0;"A0";1302;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Anse";"SAONE TURDINE";"ANSE";"SP JONCHAY REPRISE - ANSE";"6276";0;67;"0-3";"A0";"";"Eau potable";"Captage";"EDF";"RTC";"04 74 67 13 99";"";"192.168.0.115";"Non";;;"Sofrel";"S500";"3.30";"";"M3-P3";"Portail : 2007 + fleche gauche";""
0;"A0";2255;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"SIDESOL";"MONTAGNY";"POMPAGE_LA COTE - BRIGNAIS";"6332";0;1;"";"A0";"A1/B0/B1/B2/B3/B4/B5/B6/B7/B8/B9/C0";"Eau potable";"Pompage réservoir";"EDF";"IP";"";"";"10.81.1.5";"ADSL";"multiple";;"Sofrel";"S500";"";"";"";"";""
0;"A01";1492;;"Ain";"ASS Rhone Saone";"Civrieux";"SIVU BEYNOST";"BEYNOST";"STEP CHEMIN DU PILON - BEYNOST";"6869";1992;1;"0 - 1";"A01";"";"Assainissement";"STEP";"EDF";"RTC";"04 72 25 80 93";"";"192.168.0.131";"Non";;;"Sofrel";"S500";"3.30";"";"M3/A3";;
0;"A02";2422;;"Ain";"ASS Rhone Saone";"Civrieux";"BOULIGNEUX";"BOULIGNEUX";"STEP BOULIGNEUX";"78846";2013;2;"0 - 1";"A02";;"Assainissement";"STEP";"EDF";"GSM";"06 30 05 09 25";;;"Non";;;"Sofrel";"S500";;;"A3-M3";;
