"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;;1596;;"SSE Assainissement";"Topkapi_SSE";"Isérable";"Saint-Etienne métropole";;"Test";;2012;;;;;"Assainissement";"Bassin d'orage";"EDF";"RTC";;;;"Non";;;"Sofrel";;;;;;
0;;1628;;"SSE Eau Potable";"Topkapi_SSE";"Eaux brutes";"Saint-Etienne";;"Site C F Lignon Vendets";;2013;26;;;;"Eau potable";"Captage";"EDF";"RTC";"04 71 65 86 90";;;"Non";;;"Sofrel";"S550";"3.30";;;;
0;;1638;;"SSE Eau Potable";"Topkapi_SSE";"Eaux brutes";"Saint-Etienne";;"Chambre CF Furan Roche Corbière";;2013;2;;;;"Eau potable";"Captage";"EDF";"RTC";"04 77 25 84 42";;;"Non";;;"Sofrel";"S50";"5.26";;;;
0;;1642;;"SSE Eau Potable";"Topkapi_SSE";"Rochetaillée";"Saint-Etienne";;"Réservoir de Salvaris";;2013;78;;;;"Eau potable";"Réservoir";"EDF";"RTC";"04 77 38 24 59";;;"Non";;;"Sofrel";"S530";"3.40";;;;
0;"";1640;;"SSE Eau Potable";"Topkapi_SSE";"Rochetaillée";"Saint-Etienne";;"Armoire Pres. Fougerouse";"";2013;34;"";"";"";"Eau potable";"Point de mesure";"EDF";"RTC";"04 77 47 24 91";"";"";"Non";;"";"Sofrel";"S530";"3.30";"";"";"";""
0;"";1641;;"SSE Eau Potable";"Topkapi_SSE";"Rochetaillée";"Saint-Etienne";;"Reservoir Essertines";"";2013;35;"";"";"";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 77 33 13 95";"";"";"Non";;"";"Sofrel";"S530";"3.30";"";"";"";""
0;"A1";1660;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"St-Priest Lamaizière";"70845";2013;20;;"A1";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 92 47 51";;;"Non";;;"Sofrel";"S530";"4.11";"06:30";;;
0;"A3";1664;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"St-Priest Terrasse/Albert Raimond";"70851";2013;22;;"A3";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 92 50 20";;;"Non";;;"Sofrel";"S550";"4.20";"06:34";;;
0;"A5";1621;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Ricamarie Beraudière";"69889";2013;24;;"A5";;"Eau potable";"Relevé de compteur";"Autonome (Pile)";"RTC";"04 77 81 31 02";;;"Non";;;"Sofrel";"TELBOX";"4.10";"06:34";;;
0;"A6";1616;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Les Ursules Parking";"69451";2013;25;"";"A6";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 81 39 17";"";"";"Non";;"";"Sofrel";"S530";"3.10";"06:35";"";"";""
0;"A7";1618;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Villars Cyclotouristes";"69855";2013;31;"";"A7";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 47 22 47";"";"";"Non";;"";"Sofrel";"S530";"3.40";"06:36";"";"";""
0;"A8";1619;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"St-Genest Lerpt Calcagni";"69885";2013;27;"";"A8";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 21 43 51";"";"";"Non";;"";"Sofrel";"S530";"3.30";"06:37";"";"";""
0;"A9";1620;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"St-Genest Lerpt Champrond";"69886";2013;28;"";"A9";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 21 38 16";"";"";"Non";;"";"Sofrel";"S530";"3.10";"06:38";"";"";""
0;"AB";1622;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"St-Genest Lerpt Xavier Privas";"69887";2013;35;"";"AB";"P3";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 21 38 13";"";"";"Non";;"";"Sofrel";"S530";"3.30";"06:40";"";"";"Commun assainissement"
0;"AC";1623;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service (St-Victor)";"Saint-Etienne";;"St-Victor Le Devey";"70809";2013;26;"";"AC";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 81 31 07";"";"";"Non";;"";"Sofrel";"S550";"4.11";"06:39";"";"";""
0;"AD";1627;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service (St-Victor)";"Saint-Etienne";;"St-Genest Croix des Sagnes";"70811";2013;36;;"AD";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 90 83 78";;;"Non";;;"Sofrel";"S530";"3.30";"06:42";;;
0;"AE";1657;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Courteline";"69828";2013;37;;"AE";;"Eau potable";"Débimètre";"EDF";"RTC";"04 77 57 57 60";;;"Non";;;"Sofrel";"S530";"4.11";"06:43";;;
0;"AF";1662;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"L'Etrat Hopital Nord";"70819";2013;38;"";"AF";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 92 47 52";"";"";"Non";;"";"Sofrel";"S530";"4.11";"06:44";"";"";""
0;"AG";1653;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Siprofors / l'Etrat RN82";"70850";2013;0;"";"AG";"";"Eau potable";"Relevé de compteur";"EDF";"Radio";"";"";"";"RTC";"Onzon Ratarieux";"Onzon Ratarieux";"Sofrel";"S530";"3.10";"";"";"";""
0;"AH";1659;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Gambetta";"70842";2013;39;"";"AH";"";"Eau potable";"Relevé de compteur";"Autonome (Pile)";"GSM";"06 86 36 72 39";"";"";"Non";;"";"Sofrel";"CELBOX";"3.20";"03:00";"";"";""
0;"AI";1661;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Villars Bas Service";"69861";2013;40;;"AI";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 74 74 69";;;"Non";;;"Sofrel";"S530";"4.11";"06:48";;;
0;"AJ";1663;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Villars ASPTT";"69862";2013;41;;"AJ";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 92 48 96";;;"Non";;;"Sofrel";"TELBOX";"4.10";"06:49";;;
0;"AK";1654;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"La Fouillouse";"70846";2013;0;;"AK";;"Eau potable";"Relevé de compteur";"EDF";"Radio";;;;"RTC";"Onzon Ratarieux";"Onzon Ratarieux";"Sofrel";"S550";"3.10";;;;
0;"AL";1665;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Talaudière Chazotte";"79907";2013;55;;"AL";;"Eau potable";"Relevé de compteur";"Autonome (Pile)";"GSM";"06 75 31 07 64";;;"Non";;;"Sofrel";"LS42";"1.20";"06:39";;;
0;"AM";1687;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";"";"La Talaudière Vierge";"70843";2014;42;"";"AM";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 47 27 37";"";"";"Non";"";"";"Sofrel";"S530";"4.11";"06:50";"";"";""
0;"AN";1688;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";"";"Sorbiers Jean Rostand";"70844";2014;43;"";"AN";"";"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 77 47 52 29";"";"";"Non";"";"";"Sofrel";"S530";"4.11";"06:51";"";"";""
0;"B1";1591;;"SSE Eau Potable";"Topkapi_SSE";"Rochetaillée";"Saint-Etienne";;"Rochetaillée bourg";"69285";2012;2;"";"B1";"B2";"Eau potable";"Réservoir";"EDF";"RTC";"04 77 38 92 12";"";"";"Non";;;"Sofrel";"S550";"3.61";"07:00";"";"";""
0;"BC";1647;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service (St-Victor)";"Saint-Etienne";;"St-Victor Crêt Tharraud";"69295";2013;203;;"BC";;"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 77 30 87 18";;;"RTC";"St Victor Quéret";"St Victor Quéret";"Sofrel";"S550";"4.11";"07:08";;;
0;"BD";1648;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service (St-Victor)";"Saint-Etienne";;"St-Victor Quêret";"69296";2013;0;"";"BD";"";"Eau potable";"Réservoir";"EDF";"Radio";"";"";"";"RTC";"St-Victor Crêt Tharraud";"St-Victor Crêt Tharraud";"Sofrel";"S530";"3.10";"";"";"";""
0;"BI";1685;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service (Tour en Jarez)";"Saint-Etienne";"";"La Tour en Jarez Bourg";"69306";2014;210;"";"BI";"";"Eau potable";"Réservoir";"EDF";"GSM";"06 87 87 38 80";"";"";"Non";"";"";"Sofrel";"S550";"4.11";"07:20";"";"";""
0;"C1";1597;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Charcot eau potable";"72715";2012;10;"";"C1";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"RTC";"04 77 41 11 42";"";"";"Non";;;"Sofrel";"TELBOX";"4.10";"06:00";"";"";""
0;"C2";1598;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"G.Tessier";"74434";2012;11;"";"C2";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"RTC";"04 77 49 13 18";"";"";"Non";;;"Sofrel";"TELBOX";"4.10";"06:02";"";"";""
0;"C3";1606;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Rue Ondaine";"69889";2013;50;"";"C3";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GSM";"07 85 64 07 22";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:30";"";"";""
0;"C4";1607;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Descours";"74975";2013;51;"";"C4";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GSM";"06 38 84 89 76";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:32";"";"";""
0;"C5";1608;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Martel";"74976";2013;52;"";"C5";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GSM";"06 38 82 85 58";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:34";"";"";""
0;"C6";1609;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Chavassieux";"74974";2013;53;"";"C6";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GSM";"06 38 84 18 85";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:36";"";"";""
0;"C7";1610;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Tilleuls";"74978";2013;54;"";"C7";"";"Eau potable";"Sectorisation";"Autonome (Pile)";"GSM";"06 38 84 22 92";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:38";"";"";""
0;"C8";1611;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"G. Nadaud";"74977";2013;12;"";"C8";"";"Eau potable";"Sectorisation";"EDF";"GSM";"06 38 84 84 90";"";"";"Non";;"";"Sofrel";"S530";"4.11";"06:04";"";"";""
0;"D2";1658;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Portail Rouge";"69256";2013;251;"";"D2";"";"Eau potable";"Réservoir";"EDF";"RTC";"04 77 46 02 85";"";"";"Non";;"";"Sofrel";"S50";"4.32";"07:04";"";"";""
0;"F1";1617;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service";"Saint-Etienne";;"Laya";"69255";2013;80;"";"F1";"";"Eau potable";"Surpresseur";"EDF";"RTC";"04 77 80 51 69";"";"";"Non";;"";"Sofrel";"S550";"4.20";"05:40";"";"";""
0;"G1";1626;;"SSE Eau Potable";"Topkapi_SSE";"Haut-Service (St-Victor)";"Saint-Etienne";;"St Victor Chichivieux";"69890";2013;90;"";"G1";"P4";"Eau potable";"Vanne";"EDF";"RTC";"04 77 90 02 64";"";"";"Non";;"";"Sofrel";"S550";"4.11";"05:30";"";"";"Commun assainissement"
0;"G2";1666;;"SSE Eau Potable";"Topkapi_SSE";"Moyen-Service";"Saint-Etienne";;"Terrenoire Louis Destre";"79262";2013;56;"";"G2";"";"Eau potable";"Point de mesure";"Autonome (Pile)";"GSM";"06 75 31 07 56";"";"";"Non";;"";"Sofrel";"LS42";"1.20";"06:40";"";"";""
0;"G3";1686;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";"";"Méhul";"70841";2014;91;"";"G3";"";"Eau potable";"Point de mesure";"EDF";"GSM";"07 89 89 17 34";"";"";"Non";"";"";"Sofrel";"S530";"4.20";"05:31";"";"";""
0;"H1";1655;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Musée";"69302";2013;220;;"H1";;"Eau potable";"Réservoir";"EDF";"GSM";"07 88 56 28 08";;;"Non";;;"Sofrel";"S530";"4.11";"05:50";;;
0;"H2";1656;;"SSE Eau Potable";"Topkapi_SSE";"Bas-Service";"Saint-Etienne";;"Pépinière";"69303";2013;221;;"H2";;"Eau potable";"Réservoir";"EDF";"GSM";"06 42 40 52 80";;;"Non";;;"Sofrel";"S550";"4.11";"05:51";;;
0;"M10";1637;;"SSE Eau Potable";"Topkapi_SSE";"Eaux brutes";"Saint-Etienne";;"Lignon CH44 RV15";"69954";2013;239;"";"M10";"";"Eau potable";"Captage";"EDF";"RTC";"04 77 56 47 52";"";"";"Non";;"";"Sofrel";"S50";"5.26";"04:18";"";"";""
0;"M12";1639;;"SSE Eau Potable";"Topkapi_SSE";"Eaux brutes";"Saint-Etienne";;"Furan Galerie Pas du Riot";"69845";2013;241;"";"M12";"";"Eau potable";"Captage";"EDF";"RTC";"04 77 51 49 26";"";"";"Non";;"";"Sofrel";"S50";"5.26";"04:22";"";"";""
0;"M2";1629;;"SSE Eau Potable";"Topkapi_SSE";"Eaux brutes";"Saint-Etienne";;"Lignon CH17 RV5";"69923";2013;231;"";"M2";"";"Eau potable";"Captage";"EDF";"RTC";"04 71 75 48 04";"";"";"Non";;"";"Sofrel";"S50";"5.26";"";"";"";""
